# This file is an extension for the 'parameterDef_fmi.csv' file. You can add your
# own parameter definitions here. They will be not overridden.
# FIELDS:
# 1) FmiParameterId
# 2) Version
# 3) FmiParameterName
# 4) FmiParameterDescription
# 5) AreaInterpolationMethod
# 6) TimeInterpolationMethod
# 7) LevelInterpolationMethod
# 8) DefaultPrecision
#
1455610;1;P10WESD-MM;MM;Snow Depth in Water Equivalent mm;1;1;1;2;
1455110;1;P10ULST-C;C;Upper Layer Soil Temperature in Celsius;1;1;1;1;
1455210;1;P10ULSM-M3M3;M3M3;Upper Layer Soil Moisture in M3M3;1;1;1;3;
1455310;1;P10LOWLST-M3M3;M3M3;Lower Layer Soil Moisture in M3M3;1;1;1;3;
1455410;1;P10BLST-C;C;Bottom Layer Soil Temperature in Celsius;1;1;1;1;
1413910;1;P10STL1-C;C;Soil Temperature in Layer 1 in Celsius;1;1;1;1;
1417010;1;P10STL2-C;C;Soil Temperature in Layer 2 in Celsius;1;1;1;1;
1418310;1;P10STL3-C;C;Soil Temperature in Layer 3 in Celsius;1;1;1;1;
1423610;1;P10STL4-C;C;Soil Temperature in Layer 4 in Celsius;1;1;1;1;
1453910;1;P10OSTL1-C;C;Organic Soil Temperature in Layer 1 in Celsius;1;1;1;1;
1457010;1;P10OSTL2-C;C;Organic Soil Temperature in Layer 2 in Celsius;1;1;1;1;
1458310;1;P10OSTL3-C;C;Organic Soil Temperature in Layer 3 in Celsius;1;1;1;1;
1453610;1;P10OSTL4-C;C;Organic Soil Temperature in Layer 4 in Celsius;1;1;1;1;
1404950;1;P50TWATERP-MM;MM;Total Water Precipitation;1;1;1;2;
1405050;1;P50TSNOWP-MM;MM;Total Snow Precipitation;1;1;1;2;
1455650;1;P50WESD-MM;MM;Snow Depth in Water Equivalent mm;1;1;1;2;
1455150;1;P50ULST-C;C;Upper Layer Soil Temperature in Celsius;1;1;1;1;
1455250;1;P50ULSM-M3M3;M3M3;Upper Layer Soil Moisture in M3M3;1;1;1;3;
1455350;1;P50LOWLST-M3M3;M3M3;Lower Layer Soil Moisture in M3M3;1;1;1;3;
1455450;1;P50BLST-C;C;Bottom Layer Soil Temperature in Celsius;1;1;1;1;
1413950;1;P50STL1-C;C;Soil Temperature in Layer 1 in Celsius;1;1;1;1;
1417050;1;P50STL2-C;C;Soil Temperature in Layer 2 in Celsius;1;1;1;1;
1418350;1;P50STL3-C;C;Soil Temperature in Layer 3 in Celsius;1;1;1;1;
1423650;1;P50STL4-C;C;Soil Temperature in Layer 4 in Celsius;1;1;1;1;
1453950;1;P50OSTL1-C;C;Organic Soil Temperature in Layer 1 in Celsius;1;1;1;1;
1457050;1;P50OSTL2-C;C;Organic Soil Temperature in Layer 2 in Celsius;1;1;1;1;
1458350;1;P50OSTL3-C;C;Organic Soil Temperature in Layer 3 in Celsius;1;1;1;1;
1453650;1;P50OSTL4-C;C;Organic Soil Temperature in Layer 4 in Celsius;1;1;1;1;
