POINT_ID,NUTS0,TH_LAT,TH_LONG
44302456,IT,45.20690414,11.385262314
44502448,IT,45.131168355,11.637247943
44542404,IT,44.733847843,11.676077167
44602480,IT,45.417415354,11.773336713
44883756,SE,56.878146039,12.737062828
44903340,DE,53.141854642,12.525927872
45022772,DE,48.034829981,12.426312897
45083316,DE,52.920441396,12.780879967
45223664,SE,56.039369317,13.223814489
45363776,SE,57.038844028,13.539412079
45382568,IT,46.18819758,12.808329961
45402052,IT,41.535604701,12.6144919
45423112,DE,51.076312699,13.15450954
45502788,AT,48.162598493,13.077867539
45503440,DE,54.017202946,13.494484054
45721640,IT,37.796286829,12.829483138
45744436,SE,62.946115968,14.96475625
45762552,IT,46.030188066,13.290802986
45782284,IT,43.615905683,13.176842916
45843132,DE,51.237987549,13.767757722
45843316,DE,52.8890102,13.909337124
45883284,DE,52.599985882,13.942741608
45942792,AT,48.180463915,13.67105615
45983188,DE,51.733799919,14.011919883
46001632,IT,37.713832793,13.141542835
46144012,SE,59.114101357,15.109378594
46163388,PL,53.518230573,14.450140835
46203352,PL,53.193228274,14.476506302
46243284,DE,52.58127969,14.473175454
46303208,DE,51.896441219,14.492196194
46383324,PL,52.931961819,14.717864861
46482152,IT,42.395775369,13.960412658
46524096,SE,59.84073517,15.896820197
46563856,SE,57.687442678,15.615584057
46601592,IT,37.326421748,13.796401196
46603132,DE,51.197711659,14.853932098
46604040,SE,59.332949114,15.950915976
46703240,PL,52.159662658,15.104656959
46743036,CZ,50.328512594,14.96143795
46804612,SE,64.442054483,17.425639065
46863260,PL,52.328544341,15.359481496
46904136,SE,60.168863985,16.640300466
46923916,SE,58.197758381,16.308474187
46924564,SE,64.000291793,17.556179709
46942472,HR,45.253220889,14.747695505
47003108,PL,50.957393994,15.399638979
47144400,SE,62.510344448,17.61210533
47182096,IT,41.854222877,14.766634846
47262540,SI,45.845133661,15.211703873
47284108,SE,59.884836512,17.265275551
47302616,SI,46.525155064,15.330274615
47502520,HR,45.649935246,15.501422381
47703128,PL,51.085706329,16.417447791
47801980,IT,40.770368998,15.416971286
47803160,PL,51.364028534,16.600728059
47902888,CZ,48.921503581,16.406864356
47962792,AT,48.056890557,16.377923579
47963388,PL,53.38894151,17.152101743
48044104,SE,59.772805907,18.600701482
48224872,SE,66.594937396,21.262101676
48323412,PL,53.570146669,17.729292732
48343192,PL,51.603579598,17.419180505
48383836,SE,57.346223858,18.601054807
48602740,HU,47.53847992,17.167135604
48603172,PL,51.400675377,17.762063244
48643208,PL,51.718256393,17.874909983
48662780,HU,47.891219557,17.297305811
48702940,CZ,49.31858304,17.564811389
48761904,IT,40.016933236,16.475716941
48882948,CZ,49.373168022,17.822673196
49023144,PL,51.109279315,18.316712089
49082736,HU,47.459077964,17.795985619
49223448,PL,53.797102165,19.147442074
49263172,PL,51.333911787,18.704712543
49282756,HU,47.618610435,18.087847027
49284876,SE,66.459535924,23.605712022
49323376,PL,53.144756009,19.158819716
49362812,SK,48.111061514,18.274603754
49423488,PL,54.12994284,19.529520507
49503488,PL,54.120436379,19.650921898
49703492,PL,54.13169676,19.962729846
50562676,HU,46.766685775,19.644086751
50823008,PL,49.689853,20.587074838
51322604,RO,46.032466954,20.502409823
51522588,RO,45.8643663,20.729854504
51563528,PL,54.187650763,22.86684106
51782844,HU,48.104341746,21.555496043
52382576,RO,45.640751459,21.801597541
52442824,HU,47.831155457,22.387506522
52581944,EL,39.980372734,20.954552236
52582808,RO,47.66834461,22.53716032
52781900,EL,39.560419723,21.117458401
52841980,EL,40.26789974,21.312004533
52944320,FI,60.85250381,28.074742269
53141784,EL,38.473931743,21.349928867
53222404,BG,43.990643257,22.515979996
53244448,FI,61.887048069,29.280052879
53382792,RO,47.400444571,23.549622705
53522212,BG,42.239781333,22.513196656
53522388,BG,43.802996578,22.852827951
53542764,RO,47.126895063,23.692444542
53582352,BG,43.474338871,22.854545988
53663936,LV,57.364137796,27.549988374
53683864,LV,56.734884573,27.285920932
53742368,BG,43.591403011,23.081798002
53781940,EL,39.778640752,22.331886833
53803788,LV,56.049019429,27.173021152
53861908,EL,39.481381469,22.368958801
53921648,EL,37.147918266,22.01280602
54022384,BG,43.688669602,23.456747434
54221620,EL,36.854061906,22.300365854
54262368,BG,43.507910193,23.715983355
54901712,EL,37.574475157,23.205583301
55622848,RO,47.483673188,26.614501874
55642824,RO,47.269847089,26.571825976
57402280,BG,42.150745072,27.278918182
64001612,CY,34.762472668,32.829301637
