1304910;553;147;86;0;174;49;1;;1
1304950;553;147;86;0;176;49;1;;1
1304990;553;147;86;0;178;49;1;;1
1305010;553;147;86;0;174;50;1;;1
1305050;553;147;86;0;176;50;1;;1
1305090;553;147;86;0;178;50;1;;1
1355610;553;147;86;0;174;13;1;;1
1355650;553;147;86;0;176;13;1;;1
1355690;553;147;86;0;178;13;1;;1
1355210;553;147;86;2;174;2;1;;1
1355250;553;147;86;2;176;2;1;;1
1355290;553;147;86;2;178;2;1;;1
1355310;553;147;86;2;174;3;1;;1
1355350;553;147;86;2;176;3;1;;1
1355390;553;147;86;2;178;3;1;;1
1317010;553;147;86;192;174;170;1;1;1
1317050;553;147;86;192;176;170;1;1;1
1317090;553;147;86;192;178;170;1;1;1
1318310;553;147;86;192;174;183;1;1;1
1318350;553;147;86;192;176;183;1;1;1
1318390;553;147;86;192;178;183;1;1;1
1323610;553;147;86;192;174;236;1;1;1
1323650;553;147;86;192;176;236;1;1;1
1323690;553;147;86;192;178;236;1;1;1
1353910;553;147;86;192;174;35;1;1;1
1353950;553;147;86;192;176;35;1;1;1
1353990;553;147;86;192;178;35;1;1;1
1357010;553;147;86;192;174;36;1;1;1
1357050;553;147;86;192;176;36;1;1;1
1357090;553;147;86;192;178;36;1;1;1
1358310;553;147;86;192;174;37;1;1;1
1358350;553;147;86;192;176;37;1;1;1
1358390;553;147;86;192;178;37;1;1;1
1353610;553;147;86;192;174;38;1;1;1
1353650;553;147;86;192;176;38;1;1;1
1353690;553;147;86;192;178;38;1;1;1

